Master Planning Family,Product Group,Product Line,Product Price Group,Product Sub Group,Short Name
148, ,5,1,N,35,10951
149, ,5,1,N,35,10951
150,TRK,4,2,N,90,10296
151,TRK,4,2,N,90,10296
152,TRK,4,2,N,90,10296
153,G17,4,2, ,90,10296
154,G17,4,2, ,90,10296
155,G17,4,2, ,90,10296
156,G17,4,2, ,90,10296
157,G17,4,2, ,90,10296
158,G17,4,2, ,90,10296
159,50,11,1,N,81,10378
160,50,11,1,N,81,10378
161,50,11,1,N,81,10378
162,50,11,1,N,81,10378
163,50,11,1,N,81,10378
164,50,11,1,N,81,10378
165,A01,11,1,0,81,10378
166,A01,11,1,0,81,10378
167,A01,11,1,0,81,10378
168,   ,6,1,   ,93,10030
169,   ,6,1,   ,93,10030
170,   ,6,1,   ,93,10030
171,P01,6,1,   ,93,10030
172,P01,6,1,   ,93,10030
173,P01,6,1,   ,93,10030
174,G19,6,1, ,93,10030
175,G19,6,1, ,93,10030
176,G19,6,1, ,93,10030
177,50,6,1,N,97,10657
178,50,6,1,N,97,10657
179,50,6,1,N,97,10657
180,G17,6,1, ,97,10657
181,G17,6,1, ,97,10657
182,G17,6,1, ,97,10657
183,   ,6,1,0,97,10657
184,   ,6,1,0,97,10657
185,   ,6,1,0,97,10657
186,   ,19,1, ,99,10815
187,   ,19,1, ,99,10815
188,   ,19,1, ,99,10815
189,G17,19,1, ,99,10815
190,G17,19,1, ,99,10815
191,G17,19,1, ,99,10815
192,G03,19,1, ,99,10815
193,G03,19,1, ,99,10815
194,G03,19,1, ,99,10815
195,50,6,1,N,58,10965
196,50,6,1,N,58,10965
197,50,6,1,N,58,10965
198,TRK,6,1,N,58,10965
199,TRK,6,1,N,58,10965
200,TRK,6,1,N,58,10965
201,30,6,1,N,58,10019
202,30,6,1,N,58,10019
203,30,6,1,N,58,10019
204,50,6,1,N,58,10019
205,50,6,1,N,58,10019
206,50,6,1,N,58,10019
207,30,21,1,N,54,10230
208,30,21,1,N,54,10230
209,30,21,1,N,54,10230
210,0,21,1,1,54,10230
211,0,21,1,1,54,10230
212,0,21,1,1,54,10230
213,0,21,1,300,54,10230
214,0,21,1,300,54,10230
215,0,21,1,300,54,10230
216,   ,5,1,   ,35,10952
217,   ,5,1,   ,35,10952
218,   ,5,1,   ,35,10952
219,N,5,1,        ,35,10952
220,N,5,1,        ,35,10952
221,N,5,1,        ,35,10952
222,10,11,1,N,16,10691
223,10,11,1,N,16,10691
224,10,11,1,N,16,10691
225,50,11,1,N,16,10691
226,50,11,1,N,16,10691
227,50,11,1,N,16,10691
228,   ,11,1, ,16,10691
229,   ,11,1, ,16,10691
230,   ,11,1, ,16,10691
231,30,3,1,N,31,10297
232,30,3,1,N,31,10297
233,30,3,1,N,31,10297
234,G17,3,1, ,31,10297
235,G17,3,1, ,31,10297
236,G17,3,1, ,31,10297
237,G13,3,1, ,31,10297
238,G13,3,1, ,31,10297
239,G13,3,1, ,31,10297
240,30,4,2,N,30,10623
241,30,4,2,N,30,10623
242,30,4,2,N,30,10623
243, ,4,2,N,30,10623
244, ,4,2,N,30,10623
245, ,4,2,N,30,10623
246,G17,4,2, ,30,10623
247,G17,4,2, ,30,10623
248,G17,4,2, ,30,10623
249,50,11,1,N,16,10075
250,50,11,1,N,16,10075
251,50,11,1,N,16,10075
252,   ,11,1, ,16,10075
253,   ,11,1, ,16,10075
254,   ,11,1, ,16,10075
255,G17,11,1, ,16,10075
256,G17,11,1, ,16,10075
257,G17,11,1, ,16,10075
258,0,11,1,1,16,10075
259,0,11,1,1,16,10075
260,0,11,1,1,16,10075
261,10,22,1,N,36,10254
262,10,22,1,N,36,10254
263,10,22,1,N,36,10254
264,50,22,1,N,36,10254
265,50,22,1,N,36,10254
266,50,22,1,N,36,10254
267,G13,22,1, ,36,10254
268,G13,22,1, ,36,10254
269,G13,22,1, ,36,10254
270,   ,4,2,   ,30,10312
271,   ,4,2,   ,30,10312
272,   ,4,2,   ,30,10312
273,50,4,2,N,30,10312
274,50,4,2,N,30,10312
275,50,4,2,N,30,10312
276,   ,4,2, ,30,10312
277,   ,4,2, ,30,10312
278,   ,4,2, ,30,10312
279,   ,6,1, ,98,10658
280,   ,6,1, ,98,10658
281,   ,6,1, ,98,10658
282,G17,6,1, ,98,10658
283,G17,6,1, ,98,10658
284,G17,6,1, ,98,10658
285,0,6,1,1,98,10658
286,0,6,1,1,98,10658
287,0,6,1,1,98,10658
288,G17,19,1, ,67,10816
289,G17,19,1, ,67,10816
290,G17,19,1, ,67,10816
291,G03,19,1, ,67,10816
292,G03,19,1, ,67,10816
293,G03,19,1, ,67,10816
294,0,19,1,1,67,10816
295,0,19,1,1,67,10816
296,0,19,1,1,67,10816
297,   ,6,1,   ,62,10966
298,   ,6,1,   ,62,10966
299,   ,6,1,   ,62,10966
300,50,6,1,N,62,10966
301,50,6,1,N,62,10966
302,50,6,1,N,62,10966
303,TRK,6,1,N,62,10966
304,TRK,6,1,N,62,10966
305,TRK,6,1,N,62,10966
306,30,6,1,N,58,10649
307,30,6,1,N,58,10649
308,30,6,1,N,58,10649
309, ,6,1,N,58,10649
310, ,6,1,N,58,10649
311, ,6,1,N,58,10649
312,   ,6,1, ,58,10649
313,   ,6,1, ,58,10649
314,   ,6,1, ,58,10649
315,P01,12,1,   ,66,10702
316,P01,12,1,   ,66,10702
317,P01,12,1,   ,66,10702
318,G04,12,1, ,66,10702
319,G04,12,1, ,66,10702
320,G04,12,1, ,66,10702
321,N,12,1,        ,66,10702
322,N,12,1,        ,66,10702
323,N,12,1,        ,66,10702
324,TRK,5,1,N,35,10953
325,TRK,5,1,N,35,10953
326,TRK,5,1,N,35,10953
327,TRK,5,1,N,35,10953
328,TRK,5,1,N,35,10953
329,TRK,5,1,N,35,10953
330, ,13,1,N,9,10725
331, ,13,1,N,9,10725
332, ,13,1,N,9,10725
333,   ,13,1, ,9,10725
334,   ,13,1, ,9,10725
335,   ,13,1, ,9,10725
336,G17,13,1, ,9,10725
337,G17,13,1, ,9,10725
338,G17,13,1, ,9,10725
339,G17,4,2, ,30,10001
340,G17,4,2, ,30,10001
341,G17,4,2, ,30,10001
342,S02,4,2,0,30,10001
343,S02,4,2,0,30,10001
344,S02,4,2,0,30,10001
345,0,4,2,1,30,10001
346,0,4,2,1,30,10001
347,0,4,2,1,30,10001
348,10,3,1,N,4,10298
349,10,3,1,N,4,10298
350,10,3,1,N,4,10298
351,50,3,1,N,4,10298
352,50,3,1,N,4,10298
353,50,3,1,N,4,10298
354,0,3,1,1,4,10298
355,0,3,1,1,4,10298
356,0,3,1,1,4,10298
357,   ,11,1,   ,81,10379
358,   ,11,1,   ,81,10379
359,   ,11,1,   ,81,10379
360,30,11,1,N,81,10379
361,30,11,1,N,81,10379
362,30,11,1,N,81,10379
363, ,11,1,N,81,10379
364, ,11,1,N,81,10379
365, ,11,1,N,81,10379
366,30,4,2,N,52,10624
367,30,4,2,N,52,10624
368,30,4,2,N,52,10624
369, ,4,2,N,52,10624
370, ,4,2,N,52,10624
371, ,4,2,N,52,10624
372,G17,4,2, ,52,10624
373,G17,4,2, ,52,10624
374,G17,4,2, ,52,10624
375,10,4,2,N,52,10313
376,10,4,2,N,52,10313
377,10,4,2,N,52,10313
378,50,4,2,N,52,10313
379,50,4,2,N,52,10313
380,50,4,2,N,52,10313
381,   ,4,2,0,52,10313
382,   ,4,2,0,52,10313
383,   ,4,2,0,52,10313
384,TRK,6,1,N,58,10659
385,TRK,6,1,N,58,10659
386,TRK,6,1,N,58,10659
387,G17,6,1, ,58,10659
388,G17,6,1, ,58,10659
389,G17,6,1, ,58,10659
390,0,6,1,1,58,10659
391,0,6,1,1,58,10659
392,0,6,1,1,58,10659
393,30,19,1,N,1,10817
394,30,19,1,N,1,10817
395,30,19,1,N,1,10817
396,50,19,1,N,1,10817
397,50,19,1,N,1,10817
398,50,19,1,N,1,10817
399,G03,19,1, ,1,10817
400,G03,19,1, ,1,10817
401,G03,19,1, ,1,10817
402,50,22,1,N,36,10878
403,50,22,1,N,36,10878
404,50,22,1,N,36,10878
405, ,22,1,0,36,10878
406, ,22,1,0,36,10878
407, ,22,1,0,36,10878
408,0,22,1,1,36,10878
409,0,22,1,1,36,10878
410,0,22,1,1,36,10878
411,   ,6,1,   ,98,10347
412,   ,6,1,   ,98,10347
413,   ,6,1,   ,98,10347
414,N,6,1,        ,98,10347
415,N,6,1,        ,98,10347
416,N,6,1,        ,98,10347
417,0,6,1,1,98,10347
418,0,6,1,1,98,10347
419,0,6,1,1,98,10347
420,50,21,1,N,45,10534
421,50,21,1,N,45,10534
422,50,21,1,N,45,10534
423,50,21,1,N,45,10534
424,50,21,1,N,45,10534
425,50,21,1,N,45,10534
426,G17,21,1, ,45,10534
427,G17,21,1, ,45,10534
428,G17,21,1, ,45,10534
429,50,2,1,N,26,10589
430,50,2,1,N,26,10589
431,50,2,1,N,26,10589
432,50,2,1,N,26,10589
433,50,2,1,N,26,10589
434,50,2,1,N,26,10589
435, ,2,1,N,26,10589
436, ,2,1,N,26,10589
437, ,2,1,N,26,10589
438,   ,4,2,   ,52,10625
439,   ,4,2,   ,52,10625
440,   ,4,2,   ,52,10625
441,   ,4,2,   ,52,10625
442,   ,4,2,   ,52,10625
443,   ,4,2,   ,52,10625
444,50,4,2,N,52,10625
445,50,4,2,N,52,10625
446,50,4,2,N,52,10625
447, ,3,1,N,50,10914
448, ,3,1,N,50,10914
449, ,3,1,N,50,10914
450,G17,3,1, ,50,10914
451,G17,3,1, ,50,10914
452,G17,3,1, ,50,10914
453,   ,3,1,0,50,10914
454,   ,3,1,0,50,10914
455,   ,3,1,0,50,10914
456,10,4,2,N,52,10314
457,10,4,2,N,52,10314
458,10,4,2,N,52,10314
459,G04,4,2, ,52,10314
460,G04,4,2, ,52,10314
461,G04,4,2, ,52,10314
462,   ,4,2,0,52,10314
463,   ,4,2,0,52,10314
464,   ,4,2,0,52,10314
465,10,1,2,N,44,10580
466,10,1,2,N,44,10580
467,10,1,2,N,44,10580
468,30,1,2,N,44,10580
469,30,1,2,N,44,10580
470,30,1,2,N,44,10580
471,   ,1,2,0,44,10580
472,   ,1,2,0,44,10580
473,   ,1,2,0,44,10580
474,50,19,1,N,99,10818
475,50,19,1,N,99,10818
476,50,19,1,N,99,10818
477,   ,19,1, ,99,10818
478,   ,19,1, ,99,10818
479,   ,19,1, ,99,10818
480,G03,19,1, ,99,10818
481,G03,19,1, ,99,10818
482,G03,19,1, ,99,10818
483,   ,21,1, ,54,10231
484,   ,21,1, ,54,10231
485,   ,21,1, ,54,10231
486,G17,21,1, ,54,10231
487,G17,21,1, ,54,10231
488,G17,21,1, ,54,10231
489,0,21,1,300,54,10231
490,0,21,1,300,54,10231
491,0,21,1,300,54,10231
492,50,19,1,N,61,10482
493,50,19,1,N,61,10482
494,50,19,1,N,61,10482
495, ,19,1,N,61,10482
496, ,19,1,N,61,10482
497, ,19,1,N,61,10482
498,0,19,1,1,61,10482
499,0,19,1,1,61,10482
500,0,19,1,1,61,10482
501,30,21,1,N,45,10535
502,30,21,1,N,45,10535
503,30,21,1,N,45,10535
504,30,21,1,N,45,10535
505,30,21,1,N,45,10535
506,30,21,1,N,45,10535
507,50,21,1,N,45,10535
508,50,21,1,N,45,10535
509,50,21,1,N,45,10535
510,   ,2,1,   ,26,10590
511,   ,2,1,   ,26,10590
512,   ,2,1,   ,26,10590
513, ,2,1,N,26,10590
514, ,2,1,N,26,10590
515, ,2,1,N,26,10590
516,G13,2,1, ,26,10590
517,G13,2,1, ,26,10590
518,G13,2,1, ,26,10590
519,50,3,1,N,33,10299
520,50,3,1,N,33,10299
521,50,3,1,N,33,10299
522,   ,3,1,0,33,10299
523,   ,3,1,0,33,10299
524,   ,3,1,0,33,10299
525, ,3,1,0,33,10299
526, ,3,1,0,33,10299
527, ,3,1,0,33,10299
528,30,11,1,N,16,10380
529,30,11,1,N,16,10380
530,30,11,1,N,16,10380
531,30,11,1,N,16,10380
532,30,11,1,N,16,10380
533,30,11,1,N,16,10380
534, ,11,1,N,16,10380
535, ,11,1,N,16,10380
536, ,11,1,N,16,10380
537,   ,4,2,   ,19,10626
538,   ,4,2,   ,19,10626
539,   ,4,2,   ,19,10626
540,50,4,2,N,19,10626
541,50,4,2,N,19,10626
542,50,4,2,N,19,10626
543,ATV,4,2,N,19,10626
544,ATV,4,2,N,19,10626
545,ATV,4,2,N,19,10626
546,10,21,1,N,54,10851
547,10,21,1,N,54,10851
548,10,21,1,N,54,10851
549,   ,21,1, ,54,10851
550,   ,21,1, ,54,10851
551,   ,21,1, ,54,10851
552,   ,21,1, ,54,10851
553,   ,21,1, ,54,10851
554,   ,21,1, ,54,10851
555,10,19,1,N,61,10203
556,10,19,1,N,61,10203
557,10,19,1,N,61,10203
558,50,19,1,N,61,10203
559,50,19,1,N,61,10203
560,50,19,1,N,61,10203
561, ,19,1,N,61,10203
562, ,19,1,N,61,10203
563, ,19,1,N,61,10203
564,P01,7,1,   ,3,10660
565,P01,7,1,   ,3,10660
566,P01,7,1,   ,3,10660
567,G08,7,1, ,3,10660
568,G08,7,1, ,3,10660
569,G08,7,1, ,3,10660
570,   ,7,1,0,3,10660
571,   ,7,1,0,3,10660
572,   ,7,1,0,3,10660
573,30,19,1,N,99,10819
574,30,19,1,N,99,10819
575,30,19,1,N,99,10819
576,G03,19,1, ,99,10819
577,G03,19,1, ,99,10819
578,G03,19,1, ,99,10819
579, ,19,1,5,99,10819
580, ,19,1,5,99,10819
581, ,19,1,5,99,10819
582,50,6,1,N,58,10967
583,50,6,1,N,58,10967
584,50,6,1,N,58,10967
585,   ,6,1,0,58,10967
586,   ,6,1,0,58,10967
587,   ,6,1,0,58,10967
588,   ,2,1,   ,25,10591
589,   ,2,1,   ,25,10591
590,   ,2,1,   ,25,10591
591,50,2,1,N,25,10591
592,50,2,1,N,25,10591
593,50,2,1,N,25,10591
594, ,2,1,N,25,10591
595, ,2,1,N,25,10591
596, ,2,1,N,25,10591
597,30,13,1,N,34,10088
598,30,13,1,N,34,10088
599,30,13,1,N,34,10088
600,50,13,1,N,34,10088
601,50,13,1,N,34,10088
602,50,13,1,N,34,10088
603,TRK,13,1,N,34,10088
604,TRK,13,1,N,34,10088
605,TRK,13,1,N,34,10088
606,G17,13,1, ,34,10088
607,G17,13,1, ,34,10088
608,G17,13,1, ,34,10088
609,G17,3,1, ,4,10300
610,G17,3,1, ,4,10300
611,G17,3,1, ,4,10300
612, ,3,1,0,4,10300
613, ,3,1,0,4,10300
614, ,3,1,0,4,10300
615, ,3,1,0,4,10300
616, ,3,1,0,4,10300
617, ,3,1,0,4,10300
618,   ,21,1,   ,54,10852
619,   ,21,1,   ,54,10852
620,   ,21,1,   ,54,10852
621,G17,21,1, ,54,10852
622,G17,21,1, ,54,10852
623,G17,21,1, ,54,10852
624,G03,21,1, ,54,10852
625,G03,21,1, ,54,10852
626,G03,21,1, ,54,10852
627,30,13,1,N,110,10394
628,30,13,1,N,110,10394
629,30,13,1,N,110,10394
630,30,13,1,N,110,10394
631,30,13,1,N,110,10394
632,30,13,1,N,110,10394
633, ,13,1,N,110,10394
634, ,13,1,N,110,10394
635, ,13,1,N,110,10394
636,50,6,1,N,93,10968
637,50,6,1,N,93,10968
638,50,6,1,N,93,10968
639,   ,6,1,0,93,10968
640,   ,6,1,0,93,10968
641,   ,6,1,0,93,10968
642,30,2,1,N,26,10277
643,30,2,1,N,26,10277
644,30,2,1,N,26,10277
645,50,2,1,N,26,10277
646,50,2,1,N,26,10277
647,50,2,1,N,26,10277
648,G17,2,1, ,26,10277
649,G17,2,1, ,26,10277
650,G17,2,1, ,26,10277
651,50,2,1,N,26,10592
652,50,2,1,N,26,10592
653,50,2,1,N,26,10592
654, ,2,1,N,26,10592
655, ,2,1,N,26,10592
656, ,2,1,N,26,10592
657,G17,2,1, ,26,10592
658,G17,2,1, ,26,10592
659,G17,2,1, ,26,10592
660,30,12,1,N,66,10703
661,30,12,1,N,66,10703
662,30,12,1,N,66,10703
663,50,12,1,N,66,10703
664,50,12,1,N,66,10703
665,50,12,1,N,66,10703
666,N,12,1,        ,66,10703
667,N,12,1,        ,66,10703
668,N,12,1,        ,66,10703
669,P01,10,1,   ,11,10991
670,P01,10,1,   ,11,10991
671,P01,10,1,   ,11,10991
672,0,10,1,1,11,10991
673,0,10,1,1,11,10991
674,0,10,1,1,11,10991
675, ,19,1,N,1,10525
676, ,19,1,N,1,10525
677, ,19,1,N,1,10525
678, ,19,1,N,1,10525
679, ,19,1,N,1,10525
680, ,19,1,N,1,10525
681,G17,19,1, ,1,10525
682,G17,19,1, ,1,10525
683,G17,19,1, ,1,10525
684,50,21,1,N,54,10853
685,50,21,1,N,54,10853
686,50,21,1,N,54,10853
687, ,21,1,N,54,10853
688, ,21,1,N,54,10853
689, ,21,1,N,54,10853
690,G03,21,1, ,54,10853
691,G03,21,1, ,54,10853
692,G03,21,1, ,54,10853
693,50,7,1,N,3,10661
694,50,7,1,N,3,10661
695,50,7,1,N,3,10661
696,G08,7,1, ,3,10661
697,G08,7,1, ,3,10661
698,G08,7,1, ,3,10661
699,0,7,1,1,3,10661
700,0,7,1,1,3,10661
701,0,7,1,1,3,10661
702,   ,6,1, ,93,10969
703,   ,6,1, ,93,10969
704,   ,6,1, ,93,10969
705,   ,6,1,0,93,10969
706,   ,6,1,0,93,10969
707,   ,6,1,0,93,10969
708,   ,19,1,   ,61,10483
709,   ,19,1,   ,61,10483
710,   ,19,1,   ,61,10483
711,G17,19,1, ,61,10483
712,G17,19,1, ,61,10483
713,G17,19,1, ,61,10483
714,0,19,1,1,61,10483
715,0,19,1,1,61,10483
716,0,19,1,1,61,10483
717,   ,21,1,   ,12,10536
718,   ,21,1,   ,12,10536
719,   ,21,1,   ,12,10536
720,30,21,1,N,12,10536
721,30,21,1,N,12,10536
722,30,21,1,N,12,10536
723,50,21,1,N,12,10536
724,50,21,1,N,12,10536
725,50,21,1,N,12,10536
726,50,2,1,N,27,10593
727,50,2,1,N,27,10593
728,50,2,1,N,27,10593
729, ,2,1,N,27,10593
730, ,2,1,N,27,10593
731, ,2,1,N,27,10593
732,G13,2,1, ,27,10593
733,G13,2,1, ,27,10593
734,G13,2,1, ,27,10593
735,10,13,1,N,34,10704
736,10,13,1,N,34,10704
737,10,13,1,N,34,10704
738,G17,13,1, ,34,10704
739,G17,13,1, ,34,10704
740,G17,13,1, ,34,10704
741,G08,13,1, ,34,10704
742,G08,13,1, ,34,10704
743,G08,13,1, ,34,10704
744,   ,6,1,   ,62,10954
745,   ,6,1,   ,62,10954
746,   ,6,1,   ,62,10954
747,30,6,1,N,62,10954
748,30,6,1,N,62,10954
749,30,6,1,N,62,10954
750,P01,10,1,   ,11,10992
751,P01,10,1,   ,11,10992
752,P01,10,1,   ,11,10992
753,10,10,1,N,11,10992
754,10,10,1,N,11,10992
755,10,10,1,N,11,10992
756,G02,21,1, ,83,10854
757,G02,21,1, ,83,10854
758,G02,21,1, ,83,10854
759,G11,21,1, ,83,10854
760,G11,21,1, ,83,10854
761,G11,21,1, ,83,10854
762,0,21,1,1,83,10854
763,0,21,1,1,83,10854
764,0,21,1,1,83,10854
765, ,11,1,N,8,10076
766, ,11,1,N,8,10076
767, ,11,1,N,8,10076
768, ,11,1,N,8,10076
769, ,11,1,N,8,10076
770, ,11,1,N,8,10076
771,G19,11,1, ,8,10076
772,G19,11,1, ,8,10076
773,G19,11,1, ,8,10076
774,0,11,1,1,8,10076
775,0,11,1,1,8,10076
776,0,11,1,1,8,10076
777, ,13,1,N,100,10395
778, ,13,1,N,100,10395
779, ,13,1,N,100,10395
780,G17,13,1, ,100,10395
781,G17,13,1, ,100,10395
782,G17,13,1, ,100,10395
783,0,13,1,300,100,10395
784,0,13,1,300,100,10395
785,0,13,1,300,100,10395
786,G17,6,1, ,94,10970
787,G17,6,1, ,94,10970
788,G17,6,1, ,94,10970
789,   ,6,1,0,94,10970
790,   ,6,1,0,94,10970
791,   ,6,1,0,94,10970
792,   ,6,1,   ,62,10020
793,   ,6,1,   ,62,10020
794,   ,6,1,   ,62,10020
795,30,6,1,N,62,10020
796,30,6,1,N,62,10020
797,30,6,1,N,62,10020
798, ,6,1,N,62,10020
799, ,6,1,N,62,10020
800, ,6,1,N,62,10020
801,10,2,1,N,26,10278
802,10,2,1,N,26,10278
803,10,2,1,N,26,10278
804,30,2,1,N,26,10278
805,30,2,1,N,26,10278
806,30,2,1,N,26,10278
807,50,2,1,N,26,10278
808,50,2,1,N,26,10278
809,50,2,1,N,26,10278
810,   ,21,1,   ,45,10537
811,   ,21,1,   ,45,10537
812,   ,21,1,   ,45,10537
813, ,21,1,N,45,10537
814, ,21,1,N,45,10537
815, ,21,1,N,45,10537
816,   ,21,1,N,45,10537
817,   ,21,1,N,45,10537
818,   ,21,1,N,45,10537
819,G11,13,1, ,110,10705
820,G11,13,1, ,110,10705
821,G11,13,1, ,110,10705
822,T19,13,1,0,110,10705
823,T19,13,1,0,110,10705
824,T19,13,1,0,110,10705
825,0,13,1,1,110,10705
826,0,13,1,1,110,10705
827,0,13,1,1,110,10705
828,50,16,1,N,65,10786
829,50,16,1,N,65,10786
830,50,16,1,N,65,10786
831,G17,16,1, ,65,10786
832,G17,16,1, ,65,10786
833,G17,16,1, ,65,10786
834,G13,16,1, ,65,10786
835,G13,16,1, ,65,10786
836,G13,16,1, ,65,10786
837,10,4,2,N,52,10002
838,10,4,2,N,52,10002
839,10,4,2,N,52,10002
840,S02,4,2,0,52,10002
841,S02,4,2,0,52,10002
842,S02,4,2,0,52,10002
843,0,4,2,1,52,10002
844,0,4,2,1,52,10002
845,0,4,2,1,52,10002
846,   ,3,1,   ,33,10301
847,   ,3,1,   ,33,10301
848,   ,3,1,   ,33,10301
849,G17,3,1, ,33,10301
850,G17,3,1, ,33,10301
851,G17,3,1, ,33,10301
852,G13,3,1, ,33,10301
853,G13,3,1, ,33,10301
854,G13,3,1, ,33,10301
855,50,21,1,N,83,10855
856,50,21,1,N,83,10855
857,50,21,1,N,83,10855
858,50,21,1,N,83,10855
859,50,21,1,N,83,10855
860,50,21,1,N,83,10855
861,G03,21,1, ,83,10855
862,G03,21,1, ,83,10855
863,G03,21,1, ,83,10855
864,50,12,1,N,66,10077
865,50,12,1,N,66,10077
866,50,12,1,N,66,10077
867,G11,12,1, ,66,10077
868,G11,12,1, ,66,10077
869,G11,12,1, ,66,10077
870,G15,12,1, ,66,10077
871,G15,12,1, ,66,10077
872,G15,12,1, ,66,10077
873, ,12,1,0,66,10077
874, ,12,1,0,66,10077
875, ,12,1,0,66,10077
876,10,4,2,N,19,10315
877,10,4,2,N,19,10315
878,10,4,2,N,19,10315
879,50,4,2,N,19,10315
880,50,4,2,N,19,10315
881,50,4,2,N,19,10315
882, ,4,2,N,19,10315
883, ,4,2,N,19,10315
884, ,4,2,N,19,10315
885,50,22,1,N,37,10879
886,50,22,1,N,37,10879
887,50,22,1,N,37,10879
888, ,22,1,N,37,10879
889, ,22,1,N,37,10879
890, ,22,1,N,37,10879
891, ,22,1,0,37,10879
