BudgetPeriod,Budget Amount,BudgetYear,Customer Number,textBudgetPeriod
85,1,896.03,2008,10022423,Jan
86,1,898.0,2008,10014804,Jan
87,1,898.32,2008,10010914,Jan
88,1,903.57,2008,10026078,Jan
89,1,921.97,2008,10014047,Jan
90,1,944.54,2008,10021996,Jan
91,1,1008.63,2008,10000466,Jan
92,1,1010.13,2008,10019388,Jan
93,1,1013.06,2008,10020663,Jan
94,1,1016.09,2008,10022732,Jan
95,1,1035.58,2008,10017852,Jan
96,1,1063.75,2008,10021175,Jan
97,1,1122.3,2008,10025778,Jan
98,1,1132.4,2008,10013188,Jan
99,1,1139.61,2008,10004256,Jan
100,1,1149.45,2008,10015275,Jan
101,1,1167.38,2008,10023783,Jan
102,1,1203.97,2008,10026334,Jan
103,1,1289.3,2008,10020662,Jan
104,1,1311.31,2008,10026336,Jan
105,1,1356.69,2008,10021145,Jan
106,1,1357.33,2008,10016334,Jan
107,1,1386.78,2008,10020448,Jan
108,1,1407.16,2008,10026861,Jan
109,1,1461.84,2008,10016807,Jan
110,1,1463.42,2008,10017553,Jan
111,1,1498.66,2008,10022678,Jan
112,1,1569.77,2008,10025249,Jan
113,1,1595.09,2008,10010935,Jan
114,1,1693.1,2008,10007566,Jan
115,1,1711.48,2008,10021179,Jan
116,1,1733.53,2008,10008134,Jan
117,1,1768.01,2008,10009633,Jan
118,1,1810.1,2008,10025251,Jan
119,1,1860.67,2008,10013472,Jan
120,1,1870.24,2008,10018644,Jan
121,1,1888.71,2008,10022750,Jan
122,1,2034.51,2008,10009631,Jan
123,1,2134.67,2008,10004516,Jan
124,1,2194.55,2008,10014739,Jan
125,1,2218.08,2008,10022456,Jan
126,1,2323.06,2008,10021222,Jan
127,1,2495.91,2008,10013232,Jan
128,1,2505.25,2008,10015011,Jan
129,1,2518.81,2008,10025552,Jan
130,1,2580.24,2008,10022168,Jan
131,1,2728.95,2008,10023447,Jan
132,1,2762.92,2008,10021139,Jan
133,1,2874.65,2008,10014803,Jan
134,1,2898.66,2008,10019909,Jan
135,1,2918.16,2008,10022490,Jan
136,1,3297.81,2008,10010912,Jan
137,1,3362.87,2008,10025036,Jan
138,1,3413.86,2008,10025049,Jan
139,1,3442.73,2008,10021472,Jan
140,1,3473.5,2008,10020672,Jan
141,1,3566.22,2008,10020915,Jan
142,1,3692.67,2008,10022470,Jan
143,1,3698.12,2008,10002489,Jan
144,1,4048.78,2008,10026299,Jan
145,1,4099.56,2008,10011732,Jan
146,1,4236.05,2008,10023778,Jan
147,1,4342.1,2008,10025023,Jan
148,1,4358.12,2008,10007117,Jan
149,1,4413.99,2008,10009653,Jan
150,1,4648.46,2008,10025243,Jan
151,1,4754.23,2008,10023964,Jan
152,1,4802.29,2008,10027119,Jan
153,1,5043.39,2008,10026606,Jan
154,1,5056.79,2008,10018628,Jan
155,1,5214.81,2008,10025560,Jan
156,1,5301.78,2008,10009657,Jan
157,1,5317.27,2008,10007355,Jan
158,1,5322.27,2008,10023003,Jan
159,1,5336.56,2008,10000472,Jan
160,1,5650.98,2008,10020914,Jan
161,1,5745.12,2008,10025051,Jan
162,1,5761.71,2008,10015793,Jan
163,1,5787.32,2008,10010887,Jan
164,1,5976.16,2008,10011734,Jan
165,1,6033.37,2008,10025508,Jan
166,1,6197.25,2008,10024725,Jan
167,1,6201.08,2008,10022201,Jan
168,1,6309.11,2008,10009639,Jan
169,1,6322.82,2008,10007564,Jan
170,1,6336.4,2008,10018665,Jan
171,1,6401.94,2008,10021936,Jan
172,1,6480.84,2008,10014264,Jan
173,1,6575.06,2008,10000478,Jan
174,1,6587.62,2008,10014238,Jan
175,1,6815.22,2008,10009645,Jan
176,1,6935.29,2008,10025575,Jan
177,1,7210.09,2008,10009907,Jan
178,1,7421.23,2008,10025033,Jan
179,1,7472.11,2008,10022730,Jan
180,1,7506.59,2008,10015824,Jan
181,1,7755.14,2008,10006862,Jan
182,1,7776.27,2008,10022450,Jan
183,1,7791.75,2008,10024550,Jan
184,1,7827.74,2008,10016858,Jan
185,1,8075.08,2008,10009669,Jan
186,1,8142.5,2008,10023241,Jan
187,1,8424.72,2008,10021470,Jan
188,1,8894.94,2008,10010886,Jan
189,1,9000.89,2008,10004302,Jan
190,1,9014.18,2008,10013011,Jan
191,1,9096.39,2008,10014471,Jan
192,1,9138.5,2008,10017638,Jan
193,1,9245.9,2008,10024034,Jan
194,1,9568.77,2008,10025252,Jan
195,1,9862.28,2008,10025285,Jan
196,1,9914.25,2008,10000460,Jan
197,1,10104.08,2008,10021986,Jan
198,1,10864.03,2008,10022962,Jan
199,1,10870.14,2008,10016549,Jan
200,1,11755.46,2008,10021977,Jan
201,1,11778.58,2008,10002244,Jan
202,1,12416.3,2008,10024270,Jan
203,1,12483.28,2008,10025495,Jan
204,1,12514.27,2008,10025237,Jan
205,1,12717.66,2008,10007121,Jan
206,1,12929.25,2008,10016548,Jan
207,1,12952.64,2008,10025791,Jan
208,1,14310.86,2008,10024260,Jan
209,1,14319.82,2008,10015495,Jan
210,1,14799.74,2008,10014546,Jan
211,1,14896.12,2008,10027370,Jan
212,1,15875.02,2008,10022240,Jan
213,1,16071.67,2008,10002765,Jan
214,1,16076.33,2008,10022725,Jan
215,1,16127.7,2008,10012425,Jan
216,1,16417.07,2008,10025264,Jan
217,1,17217.29,2008,10021412,Jan
218,1,17362.02,2008,10019410,Jan
219,1,17864.69,2008,10016588,Jan
220,1,18018.52,2008,10005006,Jan
221,1,18435.16,2008,10024006,Jan
222,1,19044.24,2008,10007309,Jan
223,1,19399.81,2008,10005810,Jan
224,1,20425.12,2008,10026294,Jan
225,1,20757.06,2008,10025032,Jan
226,1,21163.71,2008,10018371,Jan
227,1,21400.73,2008,10002220,Jan
228,1,21618.75,2008,10019942,Jan
229,1,21733.93,2008,10020192,Jan
230,1,22627.7,2008,10009985,Jan
231,1,25305.75,2008,10026839,Jan
232,1,25941.27,2008,10002506,Jan
233,1,26074.19,2008,10000461,Jan
234,1,27112.85,2008,10022687,Jan
235,1,27578.58,2008,10021204,Jan
236,1,27957.36,2008,10021160,Jan
237,1,28004.81,2008,10012422,Jan
238,1,28063.83,2008,10023221,Jan
239,1,28115.61,2008,10024016,Jan
240,1,28325.56,2008,10012235,Jan
241,1,29119.07,2008,10020962,Jan
242,1,29185.29,2008,10010884,Jan
243,1,29657.63,2008,10009652,Jan
244,1,29781.46,2008,10011979,Jan
245,1,30638.34,2008,10023524,Jan
246,1,32668.89,2008,10021736,Jan
247,1,34665.02,2008,10012715,Jan
248,1,35498.45,2008,10020449,Jan
249,1,38162.19,2008,10026868,Jan
250,1,41457.96,2008,10024248,Jan
251,1,42327.09,2008,10023495,Jan
252,1,52142.21,2008,10023715,Jan
253,1,55286.73,2008,10025025,Jan
254,1,56872.22,2008,10015267,Jan
255,1,57358.17,2008,10018603,Jan
256,1,58841.7,2008,10026348,Jan
257,1,59841.13,2008,10021911,Jan
258,1,66183.59,2008,10020927,Jan
259,1,70386.66,2008,10007134,Jan
260,1,73918.85,2008,10023538,Jan
261,1,78762.91,2008,10020181,Jan
262,1,81657.02,2008,10009356,Jan
263,1,88075.89,2008,10025919,Jan
264,1,91936.18,2008,10025022,Jan
265,1,99934.07,2008,10009606,Jan
266,1,105127.41,2008,10017828,Jan
267,1,107062.78,2008,10013238,Jan
268,1,135853.83,2008,10021223,Jan
269,1,153628.89,2008,10018871,Jan
270,1,163905.2,2008,10025063,Jan
271,1,174892.31,2008,10020184,Jan
272,1,202134.43,2008,10023023,Jan
273,1,403007.37,2008,10025241,Jan
274,1,492150.47,2008,10025052,Jan
275,1,567856.03,2008,10021485,Jan
276,1,793800.06,2008,10025024,Jan
277,1,0.0,2008,10015325,Jan
278,1,0.0,2008,10025269,Jan
279,1,0.0,2008,10022755,Jan
280,1,0.0,2008,10017072,Jan
281,1,0.0,2008,10014495,Jan
282,1,0.0,2008,10018352,Jan
283,1,0.0,2008,10020445,Jan
284,1,0.0,2008,10017036,Jan
285,1,0.0,2008,10023275,Jan
286,1,0.0,2008,10025061,Jan
287,1,0.0,2008,10016045,Jan
288,1,0.0,2008,10019900,Jan
289,1,0.0,2008,10008593,Jan
290,1,0.0,2008,10010698,Jan
291,1,0.0,2008,10023471,Jan
292,1,0.0,2008,10023516,Jan
293,1,0.0,2008,10022167,Jan
294,1,0.0,2008,10027381,Jan
295,1,0.0,2008,10025549,Jan
296,1,0.0,2008,10011981,Jan
297,1,0.0,2008,10006093,Jan
298,1,0.0,2008,10023235,Jan
299,1,0.0,2008,10004255,Jan
300,1,0.0,2008,10026581,Jan
301,1,0.0,2008,10025284,Jan
302,1,0.0,2008,10027082,Jan
303,1,0.0,2008,10023489,Jan
304,1,0.0,2008,10019678,Jan
305,1,0.0,2008,10026522,Jan
306,1,0.0,2008,10025287,Jan
307,1,0.0,2008,10016564,Jan
308,1,0.0,2008,10020639,Jan
309,1,0.0,2008,10025038,Jan
310,1,0.0,2008,10024010,Jan
311,1,0.0,2008,10018867,Jan
312,1,0.0,2008,10025248,Jan
313,1,0.0,2008,10007123,Jan
314,1,0.0,2008,10025583,Jan
315,1,0.0,2008,10025021,Jan
316,1,0.0,2008,10025299,Jan
317,1,0.0,2008,10026078,Jan
318,1,0.0,2008,10000466,Jan
319,1,0.0,2008,10019388,Jan
320,1,0.0,2008,10020663,Jan
321,1,0.0,2008,10017852,Jan
322,1,0.0,2008,10025778,Jan
323,1,0.0,2008,10013188,Jan
324,1,0.0,2008,10015275,Jan
325,1,0.0,2008,10023783,Jan
326,1,0.0,2008,10020662,Jan
327,1,0.0,2008,10026336,Jan
328,1,0.0,2008,10017553,Jan
329,1,0.0,2008,10010935,Jan
330,1,0.0,2008,10007566,Jan
331,1,0.0,2008,10021179,Jan
332,1,0.0,2008,10008134,Jan
333,1,0.0,2008,10009633,Jan
334,1,0.0,2008,10025251,Jan
335,1,0.0,2008,10022750,Jan
336,1,0.0,2008,10021222,Jan
337,1,0.0,2008,10013232,Jan
338,1,0.0,2008,10015011,Jan
339,1,0.0,2008,10025552,Jan
340,1,0.0,2008,10019909,Jan
341,1,0.0,2008,10022490,Jan
342,1,0.0,2008,10010912,Jan
343,1,0.0,2008,10020915,Jan
344,1,0.0,2008,10026299,Jan
345,1,0.0,2008,10011732,Jan
346,1,0.0,2008,10009653,Jan
347,1,0.0,2008,10025243,Jan
348,1,0.0,2008,10023964,Jan
349,1,0.0,2008,10027119,Jan
350,1,0.0,2008,10026606,Jan
351,1,0.0,2008,10018628,Jan
352,1,0.0,2008,10009657,Jan
353,1,0.0,2008,10007355,Jan
354,1,0.0,2008,10023003,Jan
355,1,0.0,2008,10000472,Jan
356,1,0.0,2008,10020914,Jan
357,1,0.0,2008,10025051,Jan
358,1,0.0,2008,10015793,Jan
359,1,0.0,2008,10011734,Jan
360,1,0.0,2008,10024725,Jan
361,1,0.0,2008,10009639,Jan
362,1,0.0,2008,10018665,Jan
363,1,0.0,2008,10021936,Jan
364,1,0.0,2008,10014238,Jan
365,1,0.0,2008,10009645,Jan
366,1,0.0,2008,10025575,Jan
367,1,0.0,2008,10009907,Jan
368,1,0.0,2008,10015824,Jan
369,1,0.0,2008,10006862,Jan
370,1,0.0,2008,10023241,Jan
371,1,0.0,2008,10021470,Jan
372,1,0.0,2008,10014471,Jan
373,1,0.0,2008,10017638,Jan
374,1,0.0,2008,10024034,Jan
375,1,0.0,2008,10025252,Jan
376,1,0.0,2008,10025285,Jan
377,1,0.0,2008,10000460,Jan
378,1,0.0,2008,10021986,Jan
379,1,0.0,2008,10016549,Jan
380,1,0.0,2008,10024270,Jan
381,1,0.0,2008,10025495,Jan
382,1,0.0,2008,10025237,Jan
383,1,0.0,2008,10007121,Jan
384,1,0.0,2008,10025791,Jan
385,1,0.0,2008,10024260,Jan
386,1,0.0,2008,10014546,Jan
387,1,0.0,2008,10027370,Jan
388,1,0.0,2008,10002765,Jan
389,1,0.0,2008,10021412,Jan
390,1,0.0,2008,10016588,Jan
391,1,0.0,2008,10005006,Jan
392,1,0.0,2008,10024006,Jan
393,1,0.0,2008,10026294,Jan
394,1,0.0,2008,10019942,Jan
395,1,0.0,2008,10020192,Jan
396,1,0.0,2008,10009985,Jan
397,1,0.0,2008,10022687,Jan
398,1,0.0,2008,10021160,Jan
399,1,0.0,2008,10012422,Jan
400,1,0.0,2008,10024016,Jan
401,1,0.0,2008,10009652,Jan
402,1,0.0,2008,10011979,Jan
403,1,0.0,2008,10021736,Jan
404,1,0.0,2008,10020449,Jan
405,1,0.0,2008,10026868,Jan
406,1,0.0,2008,10024248,Jan
407,1,0.0,2008,10023715,Jan
408,1,0.0,2008,10026348,Jan
409,1,0.0,2008,10021911,Jan
410,1,0.0,2008,10020927,Jan
411,1,0.0,2008,10023538,Jan
412,1,0.0,2008,10025919,Jan
413,1,0.0,2008,10013238,Jan
414,1,0.0,2008,10021223,Jan
415,1,0.0,2008,10018871,Jan
416,1,0.0,2008,10025063,Jan
417,1,0.0,2008,10023023,Jan
418,1,0.0,2008,10025241,Jan
419,1,0.0,2008,10025052,Jan
420,1,0.0,2008,10021485,Jan
421,1,0.0,2008,10021184,Jan
422,1,0.0,2008,10009623,Jan
423,1,0.0,2008,10002746,Jan
424,1,0.0,2008,10024999,Jan
425,1,0.0,2008,10006037,Jan
426,1,0.0,2008,10007268,Jan
427,1,0.0,2008,10013137,Jan
428,1,0.0,2008,10002138,Jan
429,1,0.0,2008,10018950,Jan
430,1,0.0,2008,10022249,Jan
431,1,0.0,2008,10006805,Jan
432,1,0.0,2008,10013252,Jan
433,1,0.0,2008,10025267,Jan
434,1,0.0,2008,10023785,Jan
435,1,0.0,2008,10010904,Jan
436,1,0.0,2008,10016303,Jan
437,1,0.0,2008,10023244,Jan
438,1,0.0,2008,10012799,Jan
439,1,0.0,2008,10012399,Jan
440,1,0.0,2008,10011724,Jan
441,1,0.0,2008,10014064,Jan
442,1,0.0,2008,10007163,Jan
443,1,0.0,2008,10020340,Jan
444,1,0.0,2008,10021575,Jan
445,1,0.0,2008,10021242,Jan
446,1,0.0,2008,10020256,Jan
447,1,0.0,2008,10018890,Jan
448,1,0.0,2008,10024246,Jan
449,1,0.0,2008,10025039,Jan
450,1,0.0,2008,10010855,Jan
451,1,0.0,2008,10022978,Jan
452,1,0.0,2008,10026291,Jan
453,1,0.0,2008,10025515,Jan
454,1,0.0,2008,10025288,Jan
455,1,0.0,2008,10020909,Jan
456,1,0.0,2008,10019617,Jan
457,1,0.0,2008,10021270,Jan
458,1,0.0,2008,10017314,Jan
459,1,0.0,2008,10023760,Jan
460,1,0.0,2008,10002154,Jan
461,1,0.0,2008,10021380,Jan
462,1,0.0,2008,10027053,Jan
463,1,0.0,2008,10026268,Jan
464,1,0.0,2008,10025758,Jan
465,1,0.0,2008,10016780,Jan
466,1,0.0,2008,10021297,Jan
467,1,0.0,2008,10025239,Jan
468,1,0.0,2008,10000474,Jan
469,1,0.0,2008,10010923,Jan
470,1,0.0,2008,10011923,Jan
471,1,0.0,2008,10011499,Jan
472,1,0.0,2008,10024255,Jan
473,1,0.0,2008,10025246,Jan
474,1,0.0,2008,10021203,Jan
475,1,0.0,2008,10021286,Jan
476,1,0.0,2008,10020864,Jan
477,1,0.0,2008,10009156,Jan
478,1,0.0,2008,10006919,Jan
479,1,0.0,2008,10017290,Jan
480,1,0.0,2008,10020849,Jan
481,1,0.0,2008,10014810,Jan
482,1,0.0,2008,10002136,Jan
483,1,0.0,2008,10000458,Jan
484,1,0.0,2008,10003857,Jan
485,1,0.0,2008,10020281,Jan
486,1,0.0,2008,10021305,Jan
487,1,0.0,2008,10021107,Jan
488,1,0.0,2008,10025242,Jan
489,1,0.0,2008,10024477,Jan
490,1,0.0,2008,10012369,Jan
491,1,0.0,2008,10027572,Jan
492,1,0.0,2008,10024022,Jan
493,1,0.0,2008,10006917,Jan
494,1,0.0,2008,10020413,Jan
495,1,0.0,2008,10013052,Jan
496,1,0.0,2008,10020868,Jan
497,1,0.0,2008,10025247,Jan
498,1,0.0,2008,10002520,Jan
499,1,0.0,2008,10005236,Jan
500,1,0.0,2008,10019682,Jan
501,1,0.0,2008,10020388,Jan
502,1,0.0,2008,10016784,Jan
503,1,0.0,2008,10007536,Jan
504,1,0.0,2008,10007253,Jan
505,1,0.0,2008,10015956,Jan
506,1,0.0,2008,10007866,Jan
507,1,0.0,2008,10002150,Jan
508,1,0.0,2008,10025298,Jan
509,1,0.0,2008,10005861,Jan
510,1,0.0,2008,10013670,Jan
511,1,0.0,2008,10020491,Jan
512,1,0.0,2008,10011089,Jan
513,1,0.0,2008,10023780,Jan
514,1,0.0,2008,10020364,Jan
515,1,0.0,2008,10023759,Jan
516,1,0.0,2008,10025062,Jan
517,1,0.0,2008,10021331,Jan
518,1,0.0,2008,10021668,Jan
519,1,0.0,2008,10002137,Jan
520,1,0.0,2008,10020390,Jan
521,1,0.0,2008,10011842,Jan
522,1,0.0,2008,10019420,Jan
523,1,0.0,2008,10019913,Jan
524,1,0.0,2008,10024499,Jan
525,1,0.0,2008,10024704,Jan
526,1,0.0,2008,10013426,Jan
527,1,0.0,2008,10027583,Jan
528,1,0.0,2008,10009654,Jan
529,1,0.0,2008,10002501,Jan
530,1,0.0,2008,10008638,Jan
531,1,0.0,2008,10023703,Jan
532,1,0.0,2008,10002709,Jan
533,1,0.0,2008,10018623,Jan
534,1,0.0,2008,10013127,Jan
535,1,0.0,2008,10008381,Jan
536,1,0.0,2008,10021111,Jan
537,1,0.0,2008,10011198,Jan
538,1,0.0,2008,10025771,Jan
539,1,0.0,2008,10022746,Jan
540,1,0.0,2008,10023022,Jan
541,1,0.0,2008,10002115,Jan
542,1,0.0,2008,10013899,Jan
543,1,0.0,2008,10021459,Jan
544,1,0.0,2008,10009662,Jan
545,1,0.0,2008,10017585,Jan
546,1,0.0,2008,10006983,Jan
547,1,0.0,2008,10009642,Jan
548,1,0.0,2008,10018129,Jan
549,1,0.0,2008,10024541,Jan
550,1,0.0,2008,10013039,Jan
551,1,0.0,2008,10015886,Jan
552,1,0.0,2008,10009660,Jan
553,1,0.0,2008,10023757,Jan
554,1,0.0,2008,10019469,Jan
555,1,0.0,2008,10012600,Jan
556,1,0.0,2008,10027575,Jan
557,1,0.0,2008,10011093,Jan
558,1,0.0,2008,10020227,Jan
559,1,0.0,2008,10009672,Jan
560,1,0.0,2008,10024743,Jan
561,1,0.0,2008,10008602,Jan
562,1,0.0,2008,10013870,Jan
563,1,0.0,2008,10026055,Jan
564,1,0.0,2008,10011821,Jan
565,1,0.0,2008,10015030,Jan
566,1,0.0,2008,10007258,Jan
567,1,0.0,2008,10018363,Jan
568,1,0.0,2008,10019150,Jan
569,1,0.0,2008,10006836,Jan
570,1,0.0,2008,10025037,Jan
571,1,0.0,2008,10010974,Jan
572,1,0.0,2008,10019066,Jan
573,1,0.0,2008,10026843,Jan
574,1,0.0,2008,10014779,Jan
575,1,0.0,2008,10013871,Jan
576,1,0.0,2008,10025238,Jan
577,1,0.0,2008,10021804,Jan
578,1,0.0,2008,10004602,Jan
579,1,0.0,2008,10002140,Jan
580,1,0.0,2008,10025302,Jan
581,1,0.0,2008,10002161,Jan
582,1,0.0,2008,10021494,Jan
583,1,0.0,2008,10011546,Jan
584,1,0.0,2008,10025291,Jan
585,1,0.0,2008,10011600,Jan
586,1,0.0,2008,10027356,Jan
587,1,0.0,2008,10011360,Jan
588,1,0.0,2008,10018885,Jan
589,1,0.0,2008,10009643,Jan
590,1,0.0,2008,10020492,Jan
591,1,0.0,2008,10017576,Jan
592,1,0.0,2008,10010970,Jan
593,1,0.0,2008,10011623,Jan
594,1,0.0,2008,10012023,Jan
595,1,0.0,2008,10018868,Jan
596,1,0.0,2008,10020193,Jan
597,1,0.0,2008,10019952,Jan
598,1,0.0,2008,10013061,Jan
599,1,0.0,2008,10002142,Jan
600,1,0.0,2008,10007183,Jan
601,1,0.0,2008,10025296,Jan
602,1,0.0,2008,10006916,Jan
603,2,-10897.35,2008,10010914,Feb
604,2,-10006.97,2008,10016807,Feb
605,2,-2054.88,2008,10024022,Feb
606,2,-1587.44,2008,10019388,Feb
607,2,-513.18,2008,10000481,Feb
608,2,-182.52,2008,10009653,Feb
609,2,-11.74,2008,10018580,Feb
610,2,8.24,2008,10018603,Feb
611,2,14.78,2008,10009639,Feb
612,2,15.49,2008,10016784,Feb
613,2,23.19,2008,10014047,Feb
614,2,24.33,2008,10008593,Feb
615,2,26.71,2008,10010969,Feb
616,2,29.88,2008,10022962,Feb
617,2,35.14,2008,10024009,Feb
618,2,37.04,2008,10026291,Feb
619,2,37.61,2008,10027381,Feb
620,2,38.56,2008,10020445,Feb
621,2,48.96,2008,10019664,Feb
622,2,50.75,2008,10022166,Feb
623,2,55.86,2008,10007122,Feb
624,2,61.05,2008,10020672,Feb
625,2,63.23,2008,10019678,Feb
626,2,66.79,2008,10021175,Feb
627,2,68.9,2008,10021472,Feb
628,2,86.47,2008,10011732,Feb
629,2,96.8,2008,10025021,Feb
630,2,114.02,2008,10022201,Feb
631,2,129.35,2008,10022434,Feb
632,2,130.92,2008,10018623,Feb
633,2,140.36,2008,10024524,Feb
634,2,142.18,2008,10011521,Feb
635,2,145.93,2008,10000474,Feb
636,2,147.13,2008,10022431,Feb
637,2,155.48,2008,10018628,Feb
638,2,163.94,2008,10025287,Feb
639,2,165.79,2008,10025032,Feb
640,2,172.3,2008,10020639,Feb
641,2,181.21,2008,10019109,Feb
642,2,195.64,2008,10025023,Feb
643,2,196.98,2008,10025285,Feb
644,2,198.81,2008,10025305,Feb
645,2,199.57,2008,10020662,Feb
646,2,220.05,2008,10002489,Feb
647,2,221.59,2008,10009657,Feb
648,2,229.85,2008,10000469,Feb
649,2,237.94,2008,10025034,Feb
650,2,255.64,2008,10010698,Feb
651,2,278.64,2008,10016564,Feb
652,2,280.52,2008,10011724,Feb
653,2,284.34,2008,10026521,Feb
654,2,289.27,2008,10018867,Feb
655,2,291.29,2008,10024262,Feb
656,2,311.8,2008,10015011,Feb
657,2,313.68,2008,10026532,Feb
658,2,329.56,2008,10023275,Feb
659,2,336.56,2008,10021179,Feb
660,2,346.13,2008,10025575,Feb
661,2,349.73,2008,10025239,Feb
662,2,376.23,2008,10004256,Feb
663,2,413.29,2008,10019880,Feb
664,2,417.04,2008,10025571,Feb
665,2,417.19,2008,10020449,Feb
666,2,420.19,2008,10024003,Feb
667,2,429.61,2008,10025038,Feb
668,2,434.23,2008,10025284,Feb
669,2,434.61,2008,10009679,Feb
670,2,442.33,2008,10021203,Feb
671,2,442.37,2008,10025250,Feb
672,2,451.6,2008,10023513,Feb
673,2,453.52,2008,10009647,Feb
674,2,484.68,2008,10026062,Feb
675,2,485.39,2008,10024725,Feb
676,2,491.19,2008,10027082,Feb
677,2,491.88,2008,10013188,Feb
678,2,492.81,2008,10026868,Feb
679,2,502.37,2008,10026522,Feb
680,2,549.69,2008,10026006,Feb
681,2,563.95,2008,10017576,Feb
682,2,660.41,2008,10019900,Feb
683,2,673.23,2008,10025248,Feb
684,2,678.84,2008,10014495,Feb
685,2,697.64,2008,10004255,Feb
686,2,699.15,2008,10012234,Feb
687,2,725.59,2008,10014533,Feb
688,2,725.87,2008,10000473,Feb
689,2,767.92,2008,10025291,Feb
690,2,814.23,2008,10018352,Feb
691,2,816.76,2008,10021184,Feb
692,2,817.65,2008,10025238,Feb
693,2,826.28,2008,10000455,Feb
694,2,829.29,2008,10013232,Feb
695,2,885.38,2008,10024246,Feb
696,2,886.44,2008,10017307,Feb
697,2,889.65,2008,10020931,Feb
698,2,892.21,2008,10021936,Feb
699,2,907.87,2008,10025778,Feb
700,2,1022.01,2008,10003795,Feb
701,2,1053.14,2008,10019909,Feb
702,2,1054.21,2008,10000460,Feb
703,2,1058.95,2008,10023511,Feb
704,2,1079.56,2008,10009642,Feb
705,2,1080.02,2008,10025036,Feb
706,2,1120.03,2008,10020962,Feb
707,2,1124.1,2008,10022725,Feb
708,2,1134.41,2008,10023783,Feb
709,2,1164.96,2008,10026299,Feb
710,2,1170.18,2008,10014803,Feb
711,2,1186.07,2008,10023793,Feb
712,2,1201.18,2008,10026581,Feb
713,2,1202.04,2008,10000462,Feb
714,2,1289.4,2008,10025495,Feb
715,2,1321.76,2008,10022249,Feb
716,2,1357.47,2008,10004245,Feb
717,2,1396.96,2008,10007566,Feb
718,2,1424.4,2008,10025264,Feb
719,2,1442.76,2008,10006093,Feb
